0-0,-7.44069,-8.27482,24.5061,1.32,-7.5287,-8.45381,24.479
0-0,-7.5287,-8.45381,24.479,1.33,-7.62551,-8.63548,24.4737
0-0,-7.62551,-8.63548,24.4737,1.34,-7.73047,-8.81842,24.4909
0-0,-7.73047,-8.81842,24.4909,1.35,-7.84285,-9.00112,24.5311
0-0,-7.84285,-9.00112,24.5311,1.36,-7.96184,-9.18196,24.5945
0-0,-7.96184,-9.18196,24.5945,1.37,-8.08656,-9.35915,24.6815
0-0,-8.08656,-9.35915,24.6815,1.38,-8.21602,-9.53084,24.7918
0-0,-8.21602,-9.53084,24.7918,1.39,-8.34915,-9.69503,24.9252
0-0,-8.34915,-9.69503,24.9252,1.4,-8.48479,-9.84968,25.0811
0-0,-8.48479,-9.84968,25.0811,1.41,-8.6217,-9.99265,25.2587
0-0,-8.6217,-9.99265,25.2587,1.42,-8.75852,-10.1218,25.4566
0-0,-8.75852,-10.1218,25.4566,1.43,-8.89387,-10.235,25.6734
0-0,-8.89387,-10.235,25.6734,1.44,-9.02626,-10.3303,25.9072
0-0,-9.02626,-10.3303,25.9072,1.45,-9.15416,-10.4056,26.1558
0-0,-9.15416,-10.4056,26.1558,1.46,-9.27603,-10.4593,26.4164
0-0,-9.27603,-10.4593,26.4164,1.47,-9.39029,-10.4898,26.6863
0-0,-9.39029,-10.4898,26.6863,1.48,-9.49541,-10.4959,26.9621
0-0,-9.49541,-10.4959,26.9621,1.49,-9.58989,-10.4767,27.2404
0-0,-9.58989,-10.4767,27.2404,1.5,-9.67232,-10.4319,27.5174
0-0,-9.67232,-10.4319,27.5174,1.51,-9.74141,-10.3615,27.7895
0-0,-9.74141,-10.3615,27.7895,1.52,-9.79599,-10.266,28.0528
0-0,-9.79599,-10.266,28.0528,1.53,-9.83511,-10.1463,28.3034
0-0,-9.83511,-10.1463,28.3034,1.54,-9.85801,-10.0039,28.5379
0-0,-9.85801,-10.0039,28.5379,1.55,-9.86417,-9.84088,28.7527
0-0,-9.86417,-9.84088,28.7527,1.56,-9.85331,-9.65947,28.9449
0-0,-9.85331,-9.65947,28.9449,1.57,-9.82544,-9.46244,29.1117
0-0,-9.82544,-9.46244,29.1117,1.58,-9.78085,-9.2528,29.2511
0-0,-9.78085,-9.2528,29.2511,1.59,-9.72006,-9.03375,29.3612
0-0,-9.72006,-9.03375,29.3612,1.6,-9.6439,-8.80862,29.441
0-0,-9.6439,-8.80862,29.441,1.61,-9.55339,-8.58075,29.4899
0-0,-9.55339,-8.58075,29.4899,1.62,-9.44982,-8.35341,29.5078
0-0,-9.44982,-8.35341,29.5078,1.63,-9.33462,-8.12973,29.4951
0-0,-9.33462,-8.12973,29.4951,1.64,-9.20939,-7.91261,29.4528
0-0,-9.20939,-7.91261,29.4528,1.65,-9.07585,-7.70471,29.3822
0-0,-9.07585,-7.70471,29.3822,1.66,-8.93577,-7.50834,29.2849
0-0,-8.93577,-7.50834,29.2849,1.67,-8.79097,-7.32551,29.1629
0-0,-8.79097,-7.32551,29.1629,1.68,-8.64328,-7.15786,29.0183
0-0,-8.64328,-7.15786,29.0183,1.69,-8.49448,-7.00671,28.8534
0-0,-8.49448,-7.00671,28.8534,1.7,-8.34629,-6.87302,28.6706
0-0,-8.34629,-6.87302,28.6706,1.71,-8.20035,-6.75748,28.4724
0-0,-8.20035,-6.75748,28.4724,1.72,-8.0582,-6.66048,28.2612
0-0,-8.0582,-6.66048,28.2612,1.73,-7.92126,-6.58219,28.0394
0-0,-7.92126,-6.58219,28.0394,1.74,-7.7908,-6.52256,27.8093
